Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,TCmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
350,Bali Mumba\2d760d7b,eng ENG,DF,Norwich City,19,2001,0.5,7,10,70.0,99,36,5,6,83.3,2,2,100.0,0,2,0.0,0,0.0,0.0,0,1,0,0,1,Matches
351,Jacob Murphy\de112b84,eng ENG,FWDF,Newcastle Utd,26,1995,16.4,364,572,63.6,6202,2264,180,231,77.9,136,190,71.6,37,99,37.4,2,2.1,-0.1,18,26,19,10,35,Matches
352,Enock Mwepu\1d5cab82,zm ZAM,MFFW,Brighton,23,1998,11.1,300,398,75.4,4623,983,162,197,82.2,103,124,83.1,23,46,50.0,4,1.4,+2.6,8,12,3,0,19,Matches
353,Vitaliy Mykolenko\30d4a2e5,ua UKR,DF,Everton,22,1999,11.7,324,461,70.3,5286,2295,179,201,89.1,106,161,65.8,31,78,39.7,0,0.8,-0.8,8,19,9,5,23,Matches
354,Marvelous Nakamba\de5b5570,zw ZIM,MF,Aston Villa,27,1994,10.0,319,374,85.3,5376,1432,149,170,87.6,142,158,89.9,24,36,66.7,0,0.1,-0.1,3,24,1,0,27,Matches
355,Wilfred Ndidi\6b47c5db,ng NGA,MFDF,Leicester City,24,1996,18.0,757,919,82.4,13270,3273,348,404,86.1,328,370,88.6,67,104,64.4,0,0.0,0.0,0,37,4,0,52,Matches
356,Tanguy Ndombele\5cdddffa,fr FRA,MF,Tottenham,24,1996,5.4,228,264,86.4,3672,827,120,129,93.0,81,95,85.3,20,25,80.0,1,0.4,+0.6,4,23,4,0,20,Matches
357,Reiss Nelson\c5bdb6e3,eng ENG,FW,Arsenal,21,1999,0.2,10,11,90.9,117,17,6,6,100.0,3,3,100.0,0,0,,0,0.0,0.0,1,1,0,0,1,Matches
358,Pedro Neto\7ba2eaa9,pt POR,FWMF,Wolves,21,2000,5.2,171,228,75.0,2895,620,92,99,92.9,56,71,78.9,18,41,43.9,1,1.1,-0.1,13,3,4,2,10,Matches
359,Rúben Neves\44bfb6c5,pt POR,MF,Wolves,24,1997,29.6,1593,1925,82.8,38841,8227,343,401,85.5,818,913,89.6,423,573,73.8,2,2.2,-0.2,23,196,31,4,146,Matches
360,Jeremy Ngakia\3631ad41,eng ENG,DF,Watford,20,2000,10.0,322,433,74.4,5991,2810,129,149,86.6,150,184,81.5,39,82,47.6,0,0.5,-0.5,4,29,8,3,31,Matches
361,Saúl Ñíguez\c14bc029,es ESP,MFDF,Chelsea,26,1994,5.3,302,348,86.8,5152,988,148,161,91.9,115,130,88.5,31,43,72.1,0,0.3,-0.3,3,13,2,2,7,Matches
362,Eddie Nketiah\a53649b7,eng ENG,FW,Arsenal,22,1999,9.3,187,233,80.3,2928,385,96,115,83.5,76,89,85.4,9,14,64.3,1,1.4,-0.4,11,6,4,0,10,Matches
363,Nicolas Nkoulou\93cf32a8,cm CMR,DF,Watford,31,1990,1.9,46,53,86.8,1088,162,10,11,90.9,24,27,88.9,11,14,78.6,0,0.0,0.0,1,2,0,0,1,Matches
364,Mark Noble\ff527768,eng ENG,MF,West Ham,34,1987,3.7,249,276,90.2,4670,1166,94,102,92.2,123,127,96.9,30,43,69.8,0,0.2,-0.2,2,21,0,0,9,Matches
365,Mathias Normann\8996350d,no NOR,MF,Norwich City,25,1996,18.3,537,778,69.0,12005,3792,182,220,82.7,236,311,75.9,112,220,50.9,2,1.8,+0.2,13,56,13,2,67,Matches
366,Christian Nørgaard\df0a4c90,dk DEN,MF,Brentford,27,1994,33.9,1318,1652,79.8,24092,7080,558,667,83.7,566,669,84.6,158,240,65.8,4,3.1,+0.9,29,148,27,6,163,Matches
367,Angelo Ogbonna\74b2cd7e,it ITA,DF,West Ham,33,1988,10.2,392,452,86.7,8588,2244,98,103,95.1,226,240,94.2,65,103,63.1,0,0.0,0.0,0,18,0,0,10,Matches
368,Michael Olise\c4486bac,fr FRA,FWMF,Crystal Palace,19,2001,12.7,464,640,72.5,8506,2476,215,255,84.3,185,243,76.1,58,119,48.7,5,3.4,+1.6,24,29,27,8,65,Matches
369,Robin Olsen\e7ee38c3,se SWE,GK,Aston Villa,31,1990,1.0,25,48,52.1,955,679,4,4,100.0,8,8,100.0,12,34,35.3,0,0.0,0.0,0,0,0,0,0,Matches
370,Andrew Omobamidele\c393a6c4,ie IRL,DF,Norwich City,19,2002,4.2,196,226,86.7,3981,1133,68,77,88.3,94,103,91.3,32,42,76.2,0,0.0,0.0,0,11,0,0,13,Matches
371,Tyler Onyango\d86a1f3e,eng ENG,MFFW,Everton,18,2003,0.3,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
372,Frank Onyeka\2944f86f,ng NGA,MF,Brentford,23,1998,11.6,261,328,79.6,4459,935,116,141,82.3,113,130,86.9,26,40,65.0,0,0.2,-0.2,4,19,6,0,22,Matches
373,Divock Origi\43a166b4,be BEL,FW,Liverpool,26,1995,1.5,30,37,81.1,374,75,19,25,76.0,6,6,100.0,1,1,100.0,0,0.0,0.0,0,2,1,0,2,Matches
374,Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,Liverpool,27,1993,8.7,318,403,78.9,6344,1474,125,149,83.9,130,152,85.5,55,80,68.8,1,0.9,+0.1,9,40,16,3,45,Matches
375,Cole Palmer\dc7f8a28,eng ENG,FWMF,Manchester City,19,2002,1.4,45,53,84.9,621,114,29,31,93.5,11,14,78.6,4,6,66.7,0,0.2,-0.2,2,2,4,0,5,Matches
376,Emerson Palmieri\e0bc6fdc,it ITA,DF,Chelsea,26,1994,0.1,1,2,50.0,8,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
377,Thomas Partey\529f49ab,gh GHA,MF,Arsenal,28,1993,22.5,1016,1183,85.9,19557,4742,420,465,90.3,422,477,88.5,158,210,75.2,1,1.3,-0.3,18,111,13,0,116,Matches
378,João Pedro\e8832875,br BRA,FWMF,Watford,19,2001,18.3,397,576,68.9,6697,1733,213,292,72.9,120,170,70.6,47,71,66.2,1,2.6,-1.6,17,41,21,4,56,Matches
379,Nicolas Pépé\57e3f0c7,ci CIV,FWMF,Arsenal,26,1995,7.7,293,365,80.3,4404,1006,174,200,87.0,86,105,81.9,19,40,47.5,2,1.7,+0.3,13,10,10,3,14,Matches
380,Ricardo Pereira\75a72a99,pt POR,DF,Leicester City,27,1993,11.0,520,646,80.5,8123,2772,290,320,90.6,199,234,85.0,26,61,42.6,3,1.3,+1.7,10,17,15,3,38,Matches
381,Ayoze Pérez\819aa8e7,es ESP,MFFW,Leicester City,28,1993,4.9,121,155,78.1,1881,523,68,83,81.9,39,50,78.0,9,13,69.2,3,0.9,+2.1,9,9,6,0,20,Matches
382,Sonny Perkins\87f12e30,eng ENG,FW,West Ham,17,2004,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
383,Romain Perraud\6dfd8f05,fr FRA,DF,Southampton,23,1997,18.0,492,750,65.6,7475,3191,280,325,86.2,173,274,63.1,24,99,24.2,1,0.6,+0.4,10,29,14,5,44,Matches
384,Kalvin Phillips\4f565d77,eng ENG,MF,Leeds United,25,1995,17.7,769,944,81.5,16912,4283,240,279,86.0,360,395,91.1,160,246,65.0,1,0.2,+0.8,8,78,14,2,73,Matches
385,Jaden Philogene Bidace\19f4d211,eng ENG,FW,Aston Villa,19,2002,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
386,Jordan Pickford\4806ec67,eng ENG,GK,Everton,27,1994,35.0,594,1135,52.3,25486,18650,63,63,100.0,184,187,98.4,345,883,39.1,0,0.1,-0.1,4,60,3,0,0,Matches
387,Erik Pieters\1ef37668,nl NED,DF,Burnley,32,1988,8.1,242,344,70.3,4074,1707,122,149,81.9,95,121,78.5,20,56,35.7,1,0.8,+0.2,1,19,1,0,22,Matches
388,Ethan Pinnock\e541326e,jm JAM,DF,Brentford,28,1993,29.9,1180,1555,75.9,23816,8986,398,463,86.0,590,746,79.1,179,313,57.2,1,1.2,-0.2,10,67,7,3,58,Matches
389,Daniel Podence\7fcc71d8,pt POR,FWMF,Wolves,25,1995,16.5,465,636,73.1,7740,2437,243,296,82.1,149,199,74.9,54,94,57.4,3,3.8,-0.8,35,32,36,10,77,Matches
390,Paul Pogba\867239d3,fr FRA,MFFW,Manchester Utd,28,1993,15.0,738,879,84.0,14891,3918,302,345,87.5,281,315,89.2,134,171,78.4,9,3.5,+5.5,24,110,26,5,94,Matches
391,Nick Pope\4b40d9ca,eng ENG,GK,Burnley,29,1992,36.0,530,1078,49.2,25133,20295,26,30,86.7,113,118,95.8,390,926,42.1,0,0.2,-0.2,3,45,3,0,0,Matches
